Alimento,Medida Caseira,Peso (g)
FARINHA LACTEA,Colher de sopa rasa,10.0
FARINHA LACTEA,Escumadeira média cháeia,58.0
FARINHA LACTEA,Escumadeira média rasa,35.0
FAROFA COM LINGUICA,Colher de sopa cháeia,15.0
FAROFA COM LINGUICA,Colher de sopa rasa,10.0
FEIJAO BRANCO COZIDO,Concháa média cháeia,140.0
FEIJAO BRANCO COZIDO,Concháa média rasa,80.0
FEIJAO BRANCO COZIDO,Concháa pequena cháeia,65.0
FEIJAO BRANCO COZIDO,Concháa pequena rasa,40.0
FEIJAO BRANCO COZIDO,Colher de arroz cháeia,35.0
FEIJAO BRANCO COZIDO,Colher de sopa cháeia,17.0
FEIJOADA CASEIRA,Concháa média cháeia,225.0
FERMENTO EM PO,Colher de cháá cháeia,5.0
FERMENTO EM PO,Colher de sopa rasa,10.0
FLA DE CHOCOLATE,Unidade grande,45.0
FLA DE CHOCOLATE,Unidade média,300.0
FLA DE CHOCOLATE,Unidade pequena,250.0
FIGO,Unidade grande,70.0
FIGO,Unidade média,55.0
FIGO,Filég,190.0
FIGO,Filé M,140.0
FILEP,Postag,250.0
FILEP,Posta M,200.0
FILEP,Postap,150.0
PARDO,Asag,55.0
PARDO,Asam,40.0
PARDO,Asap,30.0
PARDO,Costelag,90.0
PARDO,Costela M,60.0
PARDO,Costelap,50.0
PARDO,Coxag,55.0
PARDO,Coxa M,40.0
PARDO,Coxap,30.0
PARDO,Peitog,270.0
PARDO,Peito M,180.0
PARDO,Peito P,140.0
PARDO,Pescoço G,15.0
PARDO,Pescoço M,10.0
PARDO,Pescoço P,80.0
PARDO,Sobrecoxa G,95.0
PARDO,Sobrecoxa M,65.0
PARDO,Sobrecoxa P,50.0
FRANGO ASSADO,Asag,55.0
FRANGO ASSADO,Asam,40.0
FRANGO ASSADO,Asap,30.0
FRANGO ASSADO,Colher de sopa cháeia,20.0
FRANGO ASSADO,Colher de sopa rasa,10.0
FRANGO ASSADO,Costelag,90.0
FRANGO ASSADO,Costela M,60.0
FRANGO ASSADO,Costelap,50.0
FRANGO ASSADO,Coxa G,55.0
FRANGO ASSADO,Coxa M,40.0
FRANGO ASSADO,Coxap,30.0
FRANGO ASSADO,Peito G,270.0
FRANGO ASSADO,Peito M,180.0
FRANGO ASSADO,Peito P,140.0
FRANGO ASSADO,Pescoço G,15.0
FRANGO ASSADO,Pescoço M,10.0
FRANGO ASSADO,Pescoço P,80.0
FRANGO ASSADO,Sobrecoxa G,95.0
FRANGO ASSADO,Sobrecoxa M,65.0
FRANGO ASSADO,Sobrecoxa P,50.0
FRANGO ASSADO,Unidade média,16.0
JFRANGO ENSOPADO,Asag,55.0
JFRANGO ENSOPADO,Asam,40.0
JFRANGO ENSOPADO,Asap,30.0
JFRANGO ENSOPADO,Colher de sopa cháeia,20.0
JFRANGO ENSOPADO,Colher de sopa rasa,10.0
JFRANGO ENSOPADO,Costelag,90.0
JFRANGO ENSOPADO,Costela M,60.0
JFRANGO ENSOPADO,Costelap,50.0
JFRANGO ENSOPADO,Coxa G,55.0
JFRANGO ENSOPADO,Coxam,40.0
JFRANGO ENSOPADO,Coxap,30.0
JFRANGO ENSOPADO,Peito G,270.0
JFRANGO ENSOPADO,Peito M,180.0
JFRANGO ENSOPADO,Peitop,1400.0
JFRANGO ENSOPADO,Pescoço G,150.0
JFRANGO ENSOPADO,Pescoço M,10.0
JFRANGO ENSOPADO,Pescoço P,80.0
JFRANGO ENSOPADO,Sobrecoxa G,95.0
JFRANGO ENSOPADO,Sobrecoxa M,650.0
JFRANGO ENSOPADO,Sobrecoxa P,50.0
JFRANGO ENSOPADO,Unidade média,160.0
FRANGO FRITO,Asag,550.0
FRANGO FRITO,Asam,400.0
FRANGO FRITO,Asap,300.0
FRANGO FRITO,Colher de sopa rasa,10.0
FRANGO FRITO,Costela G,90.0
FRANGO FRITO,Costela M,60.0
FRANGO FRITO,Costelap,500.0
FRANGO FRITO,Coxa G,550.0
FRANGO FRITO,Coxa M,40.0
FRANGO FRITO,Coxap,300.0
FRANGO FRITO,Filêg,170.0
FILE M,Filép,70.0
FILE M,Peito M,180.0
FILE M,Pescoço G,15.0
FILE M,Pescoço M,10.0
FILE M,Pescoço P,80.0
FILE M,Sobrecoxa G,95.0
FILE M,Sobrecoxa M,65.0
FILE M,Sobrecoxa P,500.0
FILE M,Unidade média,160.0
FRUTA DE CONDE,Unidade grande,190.0
FRUTA DE CONDE,Unidade média,600.0
FUBA,Colher de sopa cháeia,20.0
GELATINA EM FOLHA,Unidade,166.0
GELATINA PREPARADA,Colher de sopa cháeia,25.0
GELATINA PREPARADA,Unidade,1100.0
DIET LINEA,Colher de sopa cháeia,34.0
DIET LINEA,Colher de sopa rasa,22.0
DIET LINEA,Gq/Cream Cracker,80.0
DIET LINEA,Gq/Pão De Forma,180.0
DIET LINEA,Gq/Pão Francês,220.0
DIET LINEA,Mq/Cream Cracker,50.0
DIET LINEA,Mq/Pão Francês,130.0
DIET LINEA,Pq/Cream Cracker,10.0
DIET LINEA,Pq/Pão De Forma,70.0
DIET LINEA,Pq/Pão Francês,50.0
DIET LINEA,Colher de cháá cháeia,9.0
DIET LINEA,Gqi/Cream Cracker Ex,8.0
DIET LINEA,Mq/Pão De Forma,11.0
DIET LINEA,Mqi/Pão Francês,13.0
GELEIA DE FRUTA,Copo duplo (240ml) (240ml),320.0
GELEIA DE FRUTA,Gqicream Cracker,80.0
GELEIA DE FRUTA,Gq/Pão De Forma,180.0
GELEIA DE FRUTA,Mq/Pão Francês,130.0
GELEIA DE FRUTA,Pq/Cream Cracker,10.0
GELEIA DE FRUTA,Pq/Pão De Forma,70.0
GELEIA DE FRUTA,Pq/Pão Francês,5.0
GELEIA DE FRUTA,Potinho,200.0
GELEIA DE MOCOTO,Colher de sopa cháeia,25.0
GELEIA DE MOCOTO,Colher de sopa rasa,25.0
GOIABA,Unidade média,170.0
GOIABADA,Colher de sopa cháeia,25.0
GOIABADA,Colher de sopa rasa,30.0
GOIABADA,Fatia grande,100.0
GOIABADA,Fatia média,60.0
GOIABADA,Fatia pequena,40.0
GRAO DE BICO COZIDO,Concháa média cháeia,120.0
GRAO DE BICO COZIDO,Col Aà Ch,45.0
GRAO DE BICO COZIDO,Lata,350.0
SANDUICHE,Unidade média,125.0
SANDUICHE,Unidade,85.0
INHAME COZIDO,Colher de arroz cháeia picado(a),62.0
INHAME COZIDO,Colher de arroz rasa picado(a),35.0
INHAME COZIDO,Colher de sopa rasa picado(a),22.0
INHAME COZIDO,Escumadeira média cháeia picado(a),110.0
INHAME COZIDO,Escumadeira média rasa picado(a),72.0
INHAME COZIDO,Pedaço médio,600.0
INHAME COZIDO,Unidade média,125.0
INHAME COZIDO,Unidade pequena,85.0
INHAME COZIDO,Colher de sopa cháeia picado(a),17.0
IOGURTE,Unidade média,200.0
IOGURTE,Unidade,120.0
DE PORCO,Colher de sopa cháeia,30.0
JACA,Bago,120.0
JACA,Lptr,300.0
JILO COZIDO,Colher de arroz rasa,60.0
JILO COZIDO,Escumadeira média rasa,80.0
JILO COZIDO,Unidade,300.0
JILO REFOGADO,Colher de sopa cháeia,25.0
JILO REFOGADO,Escumadeira média rasa,80.0
JILO REFOGADO,Unidade pequena,180.0
JILO REFOGADO,Cols,150.0
JILO REFOGADO,Col Sob,90.0
KETCHUP,Colher de sopa cháeia,20.0
KETCHUP,Colher de sopa rasa,11.0
KETCHUP,Kw,1000.0
KETCHUP,Unidade média,760.0
KETCHUP,Unidade grande,290.0
KETCHUP,Unidade pequena,90.0
LASANHA A BOLONHESA,Colher de arroz cháeia,50.0
LASANHA A BOLONHESA,Colher de sopa cháeia,25.0
LASANHA A BOLONHESA,Escumadeira média cháeia,170.0
LASANHA A BOLONHESA,Pedaço grande,250.0
LASANHA A BOLONHESA,Pedaço médio,190.0
LASANHA A BOLONHESA,Pedaço pequeno,1200.0
LASANHA A BOLONHESA,Porção,500.0
LASANHA A BOLONHESA,Copo duplo (240ml) (240ml),240.0
LASANHA A BOLONHESA,Copo pequeno (165ml),165.0
LEITE CONDENSADO,Cola,200.0
LEITE CONDENSADO,Col Caféé,10.0
LEITE CONDENSADO,Col Chá,2.0
LEITE CONDENSADO,Cols,15.0
LEITE CONDENSADO,Col Sob,10.0
LEITE CONDENSADO,Lata,395.0
FRIALP,Colher de sopa cháeia,14.0
FRIALP,Colher de sopa rasa,25.0
EM PO SCABRA,Colher de sopa cháeia,14.0
EM PO SCABRA,Colher de sobremesa rasa,15.0
INDUSTR,Garrafa P,200.0
DESNATADO,Copo pequeno (165ml),165.0
WDESENGORDURADO,Colher de sopa rasa,25.0
PASTEURIZADO,Copo duplo (240ml) (240ml),240.0
PASTEURIZADO,Copo pequeno (165ml),165.0
COM ABACATE,Copo duplo (240ml) (240ml),240.0
COM BANANA,Copo duplo (240ml) (240ml),240.0
COM BANANA,Copo pequeno (165ml),165.0
COM FRUTA E CEREAL,Copo duplo (240ml) (240ml),240.0
COMMACAEBANANA,Copo duplo (240ml) (240ml),240.0
COMMACAEBANANA,Copo pequeno (165ml),165.0
COM MAMAO,Copo duplo (240ml) (240ml),240.0
COM MAMAO,Copo pequeno (165ml),165.0
LENTILHA COZIDA,Concháa média cháeia,160.0
COMR,Cola,32.0
COMR,Cols,18.0
LEVEDO DE CERVEJA,Colher de cháá cháeia,6.0
LEVEDO DE CERVEJA,Colher de cháá rasa,3.0
LEVEDO DE CERVEJA,Colher de sopa rasa,18.0
LICOR,Cálice,40.0
LIMONADA,Copo duplo (240ml) (240ml),240.0
ENSOPADA,Fatia média,300.0
ENSOPADA,Unidade,40.0
ENSOPADA,Colher de arroz cháeia picado(a),36.0
ENSOPADA,Colher de sopa cháeia picado(a),15.0
ENSOPADA,Gomo,60.0
ENSOPADA,Unidade grande,200.0
ENSOPADA,Unidade média,1300.0
BOLONHESA,Colher de arroz cháeia,50.0
BOLONHESA,Colher de sopa cháeia,25.0
BOLONHESA,Escumadeira média cháeia,110.0
BOLONHESA,Pegador,1100.0
BOLONHESA,Pt Fchá,400.0
BOLONHESA,Ptfr,280.0
BOLONHESA,Ptrr,200.0
E OLEO,Colher de arroz cháeia,50.0
E OLEO,Colher de sopa cháeia,25.0
E OLEO,Escumadeira média cháeia,110.0
E OLEO,Escumadeira média rasa,75.0
E OLEO,Garfada,300.0
E OLEO,Pegador,1100.0
E OLEO,Prato fundo Ch,400.0
E OLEO,Ptfr,280.0
E OLEO,Ptrchá,320.0
E OLEO,Ptrr,200.0
E OLEO,Ptfchá,400.0
MACARRAO COZIDO,Colher de arroz cháeia,50.0
MACARRAO COZIDO,Colher de sopa cháeia,25.0
MACARRAO COZIDO,Escumadeira média cháeia,110.0
MACARRAO COZIDO,Escumadeira média rasa,75.0
MACARRAO COZIDO,Garfada,300.0
MACARRAO COZIDO,Pegador,1100.0
MACARRAO COZIDO,Pt Fchá,400.0
MACARRAO COZIDO,Ptfr,280.0
MACARRAO COZIDO,Ptrchá,320.0
MACARRAO COZIDO,Prato raso Ch/Parafuso,320.0
MACARRAO COZIDO,Ptrr,200.0
MAIONESE CASEIRA,Colher de arroz cháeia,50.0
MAIONESE CASEIRA,Colher de cháá cháeia,6.0
MAIONESE CASEIRA,Colher de cháá rasa,5.0
MAIONESE CASEIRA,Colher de sopa cháeia,27.0
MAIONESE CASEIRA,Colher de sopa rasa,17.0
MAIONESE CASEIRA,Gq/Cream Cracker,30.0
MAIONESE CASEIRA,Gq/Pão Forma,120.0
MAIONESE CASEIRA,Gq/Pão Francês,240.0
MAIONESE CASEIRA,Mq/Cream Cracker,20.0
MAIONESE CASEIRA,Mq/Pão De Forma,80.0
MAIONESE CASEIRA,Mq/Pão Francês,14.0
MAIONESE CASEIRA,Pq/Cream Cracker,10.0
MAIONESE CASEIRA,Pq/Pão De Forma,40.0
MAIONESE CASEIRA,Pq/Pão Francês,10.0
INDUSTRIALIZADA,Colher de arroz cháeia,50.0
INDUSTRIALIZADA,Colher de arroz rasa,35.0
INDUSTRIALIZADA,Colher de cháá cháeia,6.0
INDUSTRIALIZADA,Colher de cháá rasa,5.0
INDUSTRIALIZADA,Colher de sopa cháeia,27.0
INDUSTRIALIZADA,Colher de sopa rasa,17.0
INDUSTRIALIZADA,Colher de sobremesa rasa,12.0
INDUSTRIALIZADA,Gq/Cream Cracker,30.0
INDUSTRIALIZADA,Gq/Pão De Forma,120.0
INDUSTRIALIZADA,Gq/Pão Francês,24.0
INDUSTRIALIZADA,Mq/Cream Cracker,20.0
INDUSTRIALIZADA,Mqi/Pão De Forma,80.0
INDUSTRIALIZADA,Mqipão Francês,140.0
INDUSTRIALIZADA,Pqi/Cream Cracker,10.0
INDUSTRIALIZADA,Pq/Pão De Forma,40.0
INDUSTRIALIZADA,Pq/Pão Francês,10.0
INDUSTRIALIZADA,Cols Cii,20.0
MAMAO,Fatia grande,290.0
MAMAO,Fatia média,170.0
MAMAO PAPAYA,Colher de arroz cháeia picado(a),70.0
MAMAO PAPAYA,Colher de sopa cháeia picado(a),25.0
MAMAO PAPAYA,Unidade grande,530.0
MANGA,Espada M,1400.0
MANTEIGA COM SAL,Colher de cháá cháeia,8.0
MANTEIGA COM SAL,Col Chá N,20.0
MANTEIGA COM SAL,Colher de cháá rasa,4.0
MANTEIGA COM SAL,Colsn,70.0
MANTEIGA COM SAL,Colher de sopa rasa,19.0
MANTEIGA COM SAL,Colher de sopa cháeia,23.0
MANTEIGA COM SAL,Col Sob N,40.0
MANTEIGA COM SAL,Colher de sobremesa rasa,13.0
MANTEIGA COM SAL,Gq/Cream Cracker,40.0
MANTEIGA COM SAL,Cq/Pão De Forma,10.0
MANTEIGA COM SAL,Gq/Pão Francês,220.0
MANTEIGA COM SAL,Mq/Cream Cracker,20.0
MANTEIGA COM SAL,Mq/Pão De Forma,60.0
MANTEIGA COM SAL,Mq/Pão Francês,100.0
MANTEIGA COM SAL,Pq/Pão De Forma,50.0
MANTEIGA COM SAL,Pq/Pão Francês,60.0
UNDP,Colher de cháá cháeia,8.0
UNDP,Col Chá N,20.0
UNDP,Colher de sopa cháeia,33.0
UNDP,Colsn,70.0
UNDP,Colher de sopa rasa,19.0
UNDP,Col Sob N,4.0
UNDP,Gqi/Cream Cracker,40.0
UNDP,Gq/Pão De Forma,100.0
UNDP,Gq/Pão Francês,220.0
UNDP,Mqi/Cream Cracker,20.0
UNDP,Mq/Pão Francês,100.0
UNDP,Pq/Cream Cracker,10.0
UNDP,Pq/Pão De Forma,50.0
UNDP,Pq/Pão Francês,60.0
UNDP,Fatia média,60.0
UNDP,Fatia pequena,40.0
MASSA DE PASTEL FRITA,Unidade,170.0
MAXIXE COZIDO,Colher de arroz cháeia,75.0
MAXIXE COZIDO,Colher de arroz rasa,55.0
MAXIXE COZIDO,Colher de sopa cháeia,25.0
MAXIXE COZIDO,Colher de sopa rasa,25.0
MAXIXE COZIDO,Escumadeira média cháeia,130.0
MAXIXE COZIDO,Escumadeira média rasa,80.0
MAXIXE REFOGADO,Colher de arroz cháeia,75.0
MAXIXE REFOGADO,Colher de sopa rasa,25.0
MEL DE ABELHA,Cols,15.0
MEL DE ABELHA,Col Caféé,2.0
MEL DE ABELHA,Col Chá,3.0
MEL DE ABELHA,Col Sob,10.0
IMELANCIA,Fatia média,200.0
MELAO,Fatia grande,115.0
MELAO,Fatia média,90.0
MELAO,Fatia pequena,70.0
MELAO,Unidade média,660.0
MILHO VERDE ENLATADO,Colher de sopa cháeia,24.0
MILHO VERDE ENLATADO,Colher de sopa rasa,14.0
MINGAU,Cols,37.0
MINGAU,Col Sob,27.0
MINGAU,Copo duplo (240ml) (240ml),230.0
MINGAU,Ptfçh,375.0
MINGAU,Ptfr,200.0
MINGAU,Prato raso,195.0
MINGAU,Prato de sobremesa,105.0
MISTO QUENTE,Unidade,85.0
MIUDOS DE GALINHA,Moelag,27.0
MIUDOS DE GALINHA,Moela M,180.0
MIUDOS DE GALINHA,Moelap,140.0
MOLHO A BOLONHESA,Concháa pequena cháeia,63.0
MOLHO A BOLONHESA,Cola,35.0
MOLHO A BOLONHESA,Cols,22.0
MOLHO A BOLONHESA,Col Sob,14.0
MOLHO A CAMPANHA,Concháa pequena cháeia,80.0
MOLHO A CAMPANHA,Concháa pequena rasa,45.0
MOLHO A CAMPANHA,Colher de arroz cháeia,65.0
MOLHO A CAMPANHA,Colher de arroz rasa,40.0
MOLHO A CAMPANHA,Colher de sopa rasa,16.0
MOLHO A CAMPANHA,Colher de sopa cháeia,18.0
MOLHO A CAMPANHA,Cols,35.0
MOLHO A CAMPANHA,Cola,45.0
MOLHO A CAMPANHA,Col Chá,10.0
MOLHO ROQUEFORT,Unidade grande,20.0
MOLHO ROQUEFORT,Unidade média,120.0
MOLHO ROQUEFORT,Fatia grande,25.0
CONDIMENTO,Colher de sopa cháeia,20.0
CONDIMENTO,Colher de sobremesa rasa,9.0
FOLHA COZIDA,Colher de arroz cháeia,75.0
FOLHA COZIDA,Colher de sopa cháeia,25.0
FOLHA COZIDA,Colher de sobremesa cháeia,18.0
PORCAO,Colher de cháá cháeia,5.0
PORCAO,Colher de sopa rasa,30.0
PORCAO,Colher de cháá rasa,5.0
NESCAU,Col Caféé Ch,20.0
NESCAU,Colher de cháá rasa,5.0
NESCAU,Colher de sopa cháeia,16.0
NESCAU,Colher de sopa rasa,11.0
NESCAU BEBIDA LACTEA,Unidade,200.0
NESCAU BEBIDA LACTEA,Col Caféé Ch,20.0
NESCAU BEBIDA LACTEA,Colher de cháá cháeia,4.0
NESCAU BEBIDA LACTEA,Colher de cháá rasa,5.0
NESCAU BEBIDA LACTEA,Colher de sopa cháeia,16.0
NESCAU BEBIDA LACTEA,Colher de sopa rasa,11.0
ALPINO BEBIDA LACTEA,Unidade,200.0
ALPINO BEBIDA LACTEA,Col Caféé Ch,20.0
ALPINO BEBIDA LACTEA,Colher de cháá cháeia,4.0
ALPINO BEBIDA LACTEA,Colher de cháá rasa,5.0
ALPINO BEBIDA LACTEA,Colher de sopa cháeia,16.0
ALPINO BEBIDA LACTEA,Colher de sopa rasa,11.0
NESPERA,Unidade grande,400.0
NESPERA,Unidade média,27.0
NESPERA,Medida,48.0
SOJA PO,Medida,48.0
RECONSTITUIDO,Copo duplo (240ml) (240ml),240.0
RECONSTITUIDO,Colher de sopa cháeia,12.0
RECONSTITUIDO,Colher de sopa rasa,7.0
NESTON,Colher de cháá cháeia,5.0
NESTON,Colher de cháá rasa,10.0
NESTON,Colher de sopa cháeia,25.0
NESTON,Colher de sopa rasa,25.0
NESTON,Colher de sobremesa cháeia,15.0
NHOQUE,Colher de arroz cháeia,70.0
NHOQUE,Colher de sopa cháeia,30.0
NHOQUE,Colher de sopa rasa,20.0
ESC M CH,Escumadeira média rasa,60.0
ESC M CH,Pedaço grande,1200.0
ESC M CH,Pedaço médio,90.0
ESC M CH,Pedaço pequeno,700.0
BEBIDA LACTEA,Unidade,200.0
BEBIDA LACTEA,Colher de cháá cháeia,5.0
BEBIDA LACTEA,Colher de cháá rasa,5.0
BEBIDA LACTEA,Colher de sopa cháeia,15.0
BEBIDA LACTEA,Colher de sopa rasa,25.0
CHOCOLATE PO,Colher de cháá cháeia,5.0
CHOCOLATE PO,Colher de cháá rasa,5.0
CHOCOLATE PO,Colher de sopa cháeia,15.0
CHOCOLATE PO,Colher de sopa rasa,25.0
CHOCOLATE PO,Punhado,300.0
OLEO VEGETAL,Col Caféé,10.0
OLEO VEGETAL,Col Chá,20.0
OLEO VEGETAL,Cols,80.0
OLEO VEGETAL,Col Sob,50.0
OVO DE CODORNA,Unidade,100.0
CLARA COZIDA,Fatia média,100.0
CLARA COZIDA,Unidade média,450.0
OVO DE GALINHA FRITO,Unidade média,50.0
GEMA COZIDA,Unidade média,150.0
OVO DE GALINHA MEXIDO,Colher de arroz cháeia,45.0
OVO DE GALINHA MEXIDO,Colher de arroz rasa,25.0
OVO DE GALINHA MEXIDO,Colher de sopa cháeia,15.0
OVO DE GALINHA MEXIDO,Colher de sopa rasa,25.0
OVO DE GALINHA MEXIDO,Escumadeira média rasa,45.0
OVO DE GALINHA MEXIDO,Col Caféé Ch,10.0
OVO DE GALINHA MEXIDO,Colher de sobremesa rasa,15.0
PACOCA,Unidade,30.0
PACOCA,Colher de sopa rasa picado(a),15.0
PAMONHA,Fatia média,45.0
PAMONHA,Fatia pequena,250.0
PANQUECA DE CARNE,Unidade média,80.0
PAO ARABE,Unidade grande,80.0
PAO DE HAMBURGUER,Unidade,70.0
PAO DE MILHO,Unidade média,70.0
JFAO DE QUEIJO,Unidade grande,40.0
JFAO DE QUEIJO,Unidade média,200.0
JFAO DE QUEIJO,Unidade pequena,10.0
JFAO DE QUEIJO,Unidade,50.0
PAO DE SAL,Bisnaga,200.0
AVEIA NESTLE BABY,Pote,155.0
NESTLE BABY,Pote,155.0
PASTA DE ATUM,Colher de cháá cháeia,9.0
PASTA DE ATUM,Colher de sopa cháeia,23.0
PASTA DE ATUM,Gq/Cream Cracker,130.0
PASTA DE ATUM,Gq/Pão De Forma,580.0
PASTA DE ATUM,Gq/Pão Francês,66.0
PASTA DE ATUM,Mq/Cream Cracker,80.0
PASTA DE ATUM,Mq/Pão De Forma,300.0
PASTA DE ATUM,Pq/Cream Cracker,40.0
PASTA DE ATUM,Pq/Pão De Forma,150.0
PASTA DE ATUM,Pq/Pão Francês,260.0
PASTA TOFU,Colher de cháá cháeia,5.0
PASTA TOFU,Colher de sopa cháeia,26.0
PASTA TOFU,Colher de sopa rasa,13.0
PASTA TOFU,Unidade média,320.0
PASTA TOFU,Unidade pequena,80.0
PASTEL DE FORNO,Unidade grande,400.0
PASTEL DE FORNO,Unidade pequena,100.0
PASTEL DE QUEIJO,Unidade média,250.0
PASTEL DE QUEIJO,Unidade pequena,100.0
PASTEL DE QUEIJO,Col Caféé Ch,35.0
PASTEL DE QUEIJO,Colher de cháá rasa,5.0
PASTEL DE QUEIJO,Colher de sopa cháeia,22.0
PASTEL DE QUEIJO,Colher de sopa rasa,17.0
PASTEL DE QUEIJO,Gq/Cream Cracker,70.0
PASTEL DE QUEIJO,Gq/Pão De Forma,200.0
PASTEL DE QUEIJO,Gq/Pão Francês,350.0
PASTEL DE QUEIJO,Mq/Cream Cracker,30.0
PASTEL DE QUEIJO,Mq/Pão De Forma,100.0
PASTEL DE QUEIJO,Mq/Pão Francês,150.0
PASTEL DE QUEIJO,Pq/Pão De Forma,5.0
PASTEL DE QUEIJO,Pqi/Pão Francês,80.0
PAVE DE AMENDOIM,Colher de sopa cháeia,22.0
PAVE DE AMENDOIM,Pedaço grande,180.0
PAVE DE AMENDOIM,Pedaço médio,1100.0
PAVE DE AMENDOIM,Pedaço pequeno,60.0
PAVE DE FRUTA,Colher de sopa cháeia,25.0
PAVE DE FRUTA,Colher de sopa rasa,15.0
PAVE DE FRUTA,Pedaço grande,1300.0
PAVE DE FRUTA,Pedaço médio,80.0
PAVE DE FRUTA,Pedaço pequeno,50.0
PE DE MOLEQUE,Unidade média,20.0
EIXEAESCAIECHE,Filé G,155.0
EIXEAESCAIECHE,Filé M,1200.0
PEIXE A MILANESA,Filég,150.0
PEIXE A MILANESA,Filé M,1150.0
PEIXE A MILANESA,Filép,90.0
PEIXE COZIDO,Colher de sopa cháeia picado(a),20.0
PEIXE COZIDO,Colher de sopa rasa picado(a),25.0
PEIXE COZIDO,Filé M,1200.0
FILE P,Posta G,250.0
FILE P,Posta M,200.0
FILE P,Postap,150.0
FILE P,Posta P,1500.0
FILE P,W Postap,150.0
PEIXE ENSOPADO,Filé G,155.0
PEIXE ENSOPADO,Filé M,120.0
PEIXE FRITO,Filég,155.0
PEPINO,Colher de sopa cháeia picado(a),18.0
PEPINO,Unidade média,100.0
PEPINO,Unidade grande,190.0
PERU,Fatia pequena,20.0
PESSEGO,Unidade grande,110.0
PESSEGO,Unidade média,60.0
PESSEGO,Unidade pequena,32.0
PICOLE ABACAXI KIBON,Unidade,59.0
PICOLE CHICABON,Unidade,63.0
PICOLE CHOKITO,Unidade,50.0
PICOLE CRUNCH,Unidade,58.0
NEGRO KIBON,Unidade,55.0
KIPOLPA MANGA,Unidade,61.0
TABLITO,Unidade,65.0
PICOLE MEGA CLASSICO,Unidade,710.0
AMARELAS,Unidade,730.0
PICOLE PRESTIGIO,Unidade,50.0
PIMENTAO,Colher de sopa cháeia picado(a),13.0
PIMENTAO,Colher de sopa rasa picado(a),25.0
PIMENTAO,Fatia grande,80.0
PIMENTAO,Fatia média,60.0
PIMENTAO,Fatia pequena,40.0
PIMENTAO,Unidade grande,87.0
PIMENTAO,Unidade média,550.0
PIMENTAO,Unidade pequena,380.0
PIPOCA COM SAL,Colher de sopa cháeia,20.0
PIPOCA COM SAL,Saco G,250.0
PIPOCA COM SAL,Saco M,200.0
PIPOCA COM SAL,Saco P,150.0
PIPOCA DOCE,Colher de sopa cháeia,20.0
PIPOCA DOCE,Saco G,250.0
PIPOCA DOCE,Saco M,200.0
PIPOCA DOCE,Saco P,150.0
PIRAO,Concháa média cháeia,165.0
PIRAO,Concháa média rasa,140.0
PIRAO,Prato fundo,500.0
PIRAO,Prato raso,300.0
PIZZA CALABREZA,Fatia grande,120.0
PIZZA CALABREZA,Fatia média,90.0
PIZZA CALABREZA,Fatia pequena,45.0
PIZZA DE PRESUNTO,Fatia grande,145.0
PIZZA DE PRESUNTO,Frm,110.0
PIZZA DE PRESUNTO,Fatia pequena,60.0
PIZZA PORTUGUESA,Fatia grande,160.0
PIZZA PORTUGUESA,Fatia média,125.0
PIZZA PORTUGUESA,Fatia pequena,65.0
POLVO REFOGADO,Colher de arroz cháeia,40.0
POLVO REFOGADO,Colher de sopa cháeia,22.0
POLVO REFOGADO,Escumadeira média cháeia,60.0
PRESUNTADA,Fatia média,15.0
PUDIM DE LEITE,Colher de sopa cháeia,25.0
PUDIM DE LEITE,Fatia grande,260.0
PUDIM DE LEITE,Fatia média,130.0
PUDIM DE LEITE,Fatia pequena,9.0
PURE DE BATATA,Concháa média rasa,140.0
PURE DE BATATA,Colher de arroz cháeia,80.0
PURE DE BATATA,Colher de sopa cháeia,25.0
PURE DE BATATA,Colher de sopa rasa,25.0
PURE DE INHAME,Colher de arroz cháeia,65.0
PURE DE INHAME,Colher de sopa cháeia,25.0
PURE DE INHAME,Colher de sopa rasa,20.0
QUEIJADINHA,Unidade grande,40.0
QUEIJADINHA,Unidade pequena,200.0
QUEIJO DESOJATOFU,Fatia média,280.0
QUEISO GORGONZOLA,Fatia grande,55.0
QUEISO GORGONZOLA,Fatia média,380.0
QUEISO GORGONZOLA,Fatia pequena,150.0
QUEISO GORGONZOLA,Peça Triangular,235.0
QUEISO GORGONZOLA,Tg,400.0
FRESCO,Fatia grande,40.0
FRESCO,Fatia pequena,20.0
FRESCO,Fatia média,300.0
FRESCO,Fatia,200.0
QUEIJO PARMESAO,Colher de sopa rasa,25.0
QUEIJO PARMESAO,Colher de sopa cháeia,25.0
QUEIJO PARMESAO,Colher de cháá rasa,5.0
QUEIJO POLENGUINHO,Unidade,200.0
QUEIJO PRATO,Fatia grande,200.0
QUIABO REFOGADO,Colher de sopa cháeia,25.0
QUIABO REFOGADO,Colher de sopa rasa,20.0
IQUIBE FRITO,Unidade média,50.0
IQUIBE FRITO,Unidade pequena,120.0
QUIBEBE,Colher de sopa cháeia,35.0
QUIBEBE,Colher de sopa rasa,20.0
QUINDIM,Unidade média,350.0
QUINDIM,Unidade pequena,200.0
RABADA,Pedaço grande,90.0
RABADA,Pedaço médio,40.0
RABADA,Pedaço pequeno,15.0
RAPADURA,Pedaço médio,55.0
RAPADURA,Pedaço pequeno,300.0
INDUSTR C AC,Copo duplo (240ml) (240ml),240.0
LARANJA C AC,Copo duplo (240ml) (240ml),240.0
