Alimento,Medida Caseira,Peso (g)
AVEIA FARINHA,Colher de sobremesa cháeia,8.0
AVELA,Punhado,250.0
AVELA,Unidade,10.0
AZEITE DE DENDE,Col Chá,20.0
AZEITE DE DENDE,Cols,80.0
AZEITE DE DENDE,Col Sob,50.0
AZEITONA,Unidade média,30.0
BABA DE MOCA,Colher de arroz cháeia,50.0
BABA DE MOCA,Colher de cháá cháeia,12.0
BABA DE MOCA,Colher de sopa cháeia,30.0
BABA DE MOCA,Porção,90.0
BACALHAU COZIDO,Colher de arroz cháeia,55.0
BACALHAU COZIDO,Colher de arroz rasa,40.0
BACALHAU COZIDO,Colher de sopa rasa,15.0
BACALHAU COZIDO,Escumadeira média cháeia,60.0
BACALHAU COZIDO,Escumadeira média rasa,48.0
BACALHAU COZIDO,Pedaço grande,220.0
BACALHAU COZIDO,Pedaço médio,1350.0
BACALHAU COZIDO,Pedaço pequeno,70.0
BACON,Fatia média,150.0
BACON,Unidade,50.0
BACON,Unidade grande,1500.0
BANANA D AGUA,Unidade grande,90.0
BANANA D AGUA,Unidade média,700.0
BANANA D AGUA,Unidade pequena,400.0
BANANA DA TERRA FRITA,Fatia grande,42.0
BANANA DA TERRA FRITA,Fatia média,310.0
BANANA DA TERRA FRITA,Fatia pequena,150.0
FRITA C AC,Fatia grande,48.0
FRITA C AC,Fatia média,350.0
FRITA C AC,Fatia pequena,170.0
BANANA PRATA,Unidade grande,55.0
BANANA PRATA,Unidade média,40.0
BANANA PRATA,Unidade pequena,300.0
BANANADA,Unidade grande,50.0
BANANADA,Unidade média,40.0
BARQUETE DE LEGUMES,Unidade média,22.0
BATATA BAROA COZIDA,Colher de arroz rasa picado(a),35.0
BATATA BAROA COZIDA,Colher de sopa cháeia picado(a),35.0
BATATA BAROA COZIDA,Colher de sopa rasa picado(a),15.0
BATATA BAROA COZIDA,Pedaço grande,75.0
BATATA BAROA COZIDA,Pedaço médio,50.0
BATATA BAROA COZIDA,Unidade grande,580.0
BATATA BAROA COZIDA,Unidade média,140.0
BATATA BAROA COZIDA,Fatia grande,90.0
BATATA DOCE FRITA,Fig,840.0
BATATA DOCE FRITA,Fatia pequena,30.0
BATATA DOCE FRITA,Pacote M,135.0
BATATA DOCE FRITA,Pacotep,720.0
BATATA DOCE FRITA,Punhado,12.8
BATATA DOCE FRITA,Unidade,13.0
BATATA DOCE FRITA,Colher de sopa cháeia picado(a),30.0
BATATA DOCE FRITA,Unidade média,140.0
BATATA DOCE FRITA,Colher de arroz cháeia,50.0
BATATA DOCE FRITA,Escumadeira média cháeia,65.0
I PORCQO P,Colher de arroz cháeia,75.0
I PORCQO P,Colher de arroz rasa,60.0
I PORCQO P,Colher de sopa cháeia,25.0
I PORCQO P,Colher de sopa rasa,20.0
I PORCQO P,Escumadeira média cháeia,125.0
I PORCQO P,Escumadeira média rasa,75.0
BERINJELA FRITA,Fatia grande,350.0
BERINJELA FRITA,Fatia média,200.0
BERINJELA FRITA,Fatia pequena,10.0
BERINJELA FRITA,Rodela grande,20.0
BERINJELA FRITA,Rodela média,13.0
BERINJELA FRITA,Rodela pequena,5.0
BERINJELA FRITA,Colher de sopa cháeia,25.0
BETERRABA,Colher de sopa cháeia ralado(a),16.0
BETERRABA,Unidade média,140.0
BETERRABA,Unidade pequena,800.0
BETERRABA COZIDA,Colher de arroz cháeia picado(a),38.0
BETERRABA COZIDA,Colher de sopa cháeia picado(a),20.0
BETERRABA COZIDA,Colher de sopa rasa picado(a),14.0
BETERRABA COZIDA,Escumadeira média rasa picado(a),45.0
BETERRABA COZIDA,Fatia grande,260.0
BETERRABA COZIDA,Fatia média,120.0
BETERRABA COZIDA,Fatia pequena,60.0
BETERRABA COZIDA,Unidade grande,335.0
BETERRABA COZIDA,Unidade média,1250.0
BETERRABA COZIDA,Unidade pequena,750.0
BIFE,Unidade grande,150.0
BIFE A MILANESA,Unidade grande,1100.0
BIFE A MILANESA,Unidade média,80.0
BIFE A MILANESA,Unidade pequena,55.0
BIFE DE FIGADO,Unidade grande,150.0
BIFE ROLE,Unidade grande,1500.0
BIFE ROLE,Unidade pequena,80.0
BIFE ROLE,Cxa,150.0
BIFE ROLE,Unidade,7.5
BIFE ROLE,Pacote,200.0
BISCOITO AMANTEIGADO,Pacote,90.0
BISCOITO AMANTEIGADO,Unidade,40.0
SAO LUIZ,Pacote,200.0
SAO LUIZ,Unidade,60.0
SAO LUIZ,Pacote M,55.0
SAO LUIZ,Punhado,90.0
BOLA,Pacoteg,160.0
BOLA,Punhado,60.0
PRESUNTO,Punhado,80.0
QUEIJO,Punhado,80.0
QUEIJO,Unidade,3.0
QUEIJO,Pacote,200.0
PACOTE BOLINHA PALITO,Pacote Rosca,40.0
PACOTE BOLINHA PALITO,Punhado Bolinha,70.0
CHOCOLATE,Pacote,200.0
CHOCOLATE,Unidade,13.0
CHOCOLATE,Colher de cháá cháeia,4.0
CHOCOLATE,Colcháár,25.0
CHOCOLATE,Colher de sopa cháeia,20.0
CHOCOLATE,Colher de sopa rasa,25.0
DE LEITE TOSTINES,Pacote,200.0
DE LEITE TOSTINES,Unidade,7.0
PARMALAT CHOCOLATE,Pacoteg,160.0
PARMALAT CHOCOLATE,Unidade,75.0
PARMALAT CHOCOLATE,Pacote G,160.0
BOBO DE CAMARAO,Concháa média cháeia,190.0
BOBO DE CAMARAO,Colher de sopa cháeia,28.0
BOBO DE CAMARAO,Prato fundo,320.0
BOBO DE CAMARAO,Prato raso,225.0
BOLINHA DE QUEIJO,Unidade pequena,10.0
CARNE,Unidade média,45.0
BOLINHO DE ARROZ,Unidade grande,60.0
BOLINHO DE ARROZ,Unidade média,40.0
BOLINHO DE BACALHAU,Unidade grande,60.0
IOI INNO DE VAGEM,Unidade média,200.0
BOLO SIMPLES,Fatia pequena,300.0
BOLO DE BANANA,Fatia grande,90.0
BOLO DE BANANA,Fatia média,70.0
BOLO DE BANANA,P,50.0
BOLO DE CENOURA,Fatia grande,100.0
BOLO DE CENOURA,Fatia pequena,30.0
DE CHOCOLATE,Fatia grande,175.0
BRIGADEIRO,Copo Caféezinho,50.0
CAFE SOLUVEL,Colher de cháá cháeia,15.0
CAJA MANGA,Unidade média,55.0
CAJA MANGA,Í Concháa média cháeia,130.0
CAMARAO,Unidade grande,30.0
CAMARAO FRITO,Colher de arroz cháeia,35.0
CAMARAO FRITO,Colher de sopa cháeia,20.0
